'2019-08-20 16:11:16.179000', 699', '17', 'None'
'2019-08-20 16:11:16.186000', 702', '16', 'None'
'2019-08-20 16:11:16.193000', 703', '16', 'None'
'2019-08-20 16:11:16.201000', 704', '16', 'None'
'2019-08-20 16:11:16.207000', 705', '16', 'None'
'2019-08-20 16:11:16.215000', 706', '16', 'None'
'2019-08-20 16:11:16.251000', 705', '15', 'None'
'2019-08-20 16:11:16.258000', 704', '14', 'None'
'2019-08-20 16:11:16.267000', 700', '12', 'None'
'2019-08-20 16:11:16.273000', 692', '8', 'None'
'2019-08-20 16:11:16.281000', 680', '6', 'None'
'2019-08-20 16:11:16.288000', 659', '3', 'None'
'2019-08-20 16:11:16.295000', 635', '3', 'None'
'2019-08-20 16:11:16.302000', 617', '3', 'None'
'2019-08-20 16:11:16.309000', 591', '5', 'None'
'2019-08-20 16:11:16.318000', 559', '9', 'None'
'2019-08-20 16:11:16.324000', 542', '13', 'None'
'2019-08-20 16:11:16.332000', 525', '16', 'None'
'2019-08-20 16:11:16.339000', 506', '20', 'None'
'2019-08-20 16:11:16.346000', 491', '26', 'None'
'2019-08-20 16:11:16.353000', 479', '30', 'None'
'2019-08-20 16:11:16.360000', 471', '35', 'None'
'2019-08-20 16:11:16.368000', 462', '41', 'None'
'2019-08-20 16:11:16.375000', 453', '48', 'None'
'2019-08-20 16:11:16.382000', 445', '57', 'None'
'2019-08-20 16:11:16.390000', 435', '67', 'None'
'2019-08-20 16:11:16.397000', 424', '76', 'None'
'2019-08-20 16:11:16.404000', 412', '93', 'None'
'2019-08-20 16:11:16.411000', 398', '116', 'None'
'2019-08-20 16:11:16.419000', 386', '136', 'None'
'2019-08-20 16:11:16.427000', 381', '150', 'None'
'2019-08-20 16:11:16.434000', 375', '162', 'None'
'2019-08-20 16:11:16.440000', 371', '179', 'None'
'2019-08-20 16:11:16.448000', 368', '196', 'None'
'2019-08-20 16:11:16.455000', 366', '211', 'None'
'2019-08-20 16:11:16.463000', 363', '221', 'None'
'2019-08-20 16:11:16.469000', 362', '230', 'None'
'2019-08-20 16:11:16.477000', 361', '237', 'None'
'2019-08-20 16:11:16.484000', 361', '249', 'None'
'2019-08-20 16:11:16.491000', 361', '259', 'None'
'2019-08-20 16:11:16.499000', 361', '269', 'None'
'2019-08-20 16:11:16.506000', 361', '275', 'None'
'2019-08-20 16:11:16.514000', 361', '282', 'None'
'2019-08-20 16:11:16.521000', 361', '286', 'None'
'2019-08-20 16:11:16.528000', 361', '291', 'None'
'2019-08-20 16:11:16.535000', 361', '294', 'None'
'2019-08-20 16:11:16.543000', 361', '295', 'None'
'2019-08-20 16:11:16.551000', 361', '298', 'None'
'2019-08-20 16:11:16.558000', 361', '299', 'None'
'2019-08-20 16:11:16.565000', 361', '301', 'None'
'2019-08-20 16:11:16.571000', 361', '303', 'None'
'2019-08-20 16:11:16.579000', 361', '304', 'None'
'2019-08-20 16:11:16.586000', 361', '307', 'None'
'2019-08-20 16:11:16.594000', 361', '308', 'None'
'2019-08-20 16:11:16.601000', 361', '310', 'None'
'2019-08-20 16:11:16.608000', 361', '313', 'None'
'2019-08-20 16:11:16.615000', 363', '317', 'None'
'2019-08-20 16:11:16.622000', 364', '321', 'None'
'2019-08-20 16:11:16.630000', 367', '326', 'None'
'2019-08-20 16:11:16.637000', 368', '329', 'None'
'2019-08-20 16:11:16.645000', 369', '333', 'None'
'2019-08-20 16:11:16.652000', 371', '339', 'None'
'2019-08-20 16:11:16.659000', 371', '341', 'None'
'2019-08-20 16:11:16.667000', 373', '344', 'None'
'2019-08-20 16:11:16.673000', 374', '347', 'None'
'2019-08-20 16:11:16.681000', 376', '350', 'None'
'2019-08-20 16:11:16.688000', 378', '351', 'None'
'2019-08-20 16:11:16.695000', 380', '355', 'None'
'2019-08-20 16:11:16.703000', 383', '358', 'None'
'2019-08-20 16:11:16.710000', 385', '361', 'None'
'2019-08-20 16:11:16.717000', 388', '365', 'None'
'2019-08-20 16:11:16.725000', 391', '370', 'None'
'2019-08-20 16:11:16.732000', 394', '374', 'None'
'2019-08-20 16:11:16.739000', 398', '381', 'None'
'2019-08-20 16:11:16.747000', 400', '385', 'None'
'2019-08-20 16:11:16.755000', 401', '389', 'None'
'2019-08-20 16:11:16.761000', 403', '393', 'None'
'2019-08-20 16:11:16.768000', 406', '398', 'None'
'2019-08-20 16:11:16.775000', 407', '401', 'None'
'2019-08-20 16:11:16.783000', 408', '402', 'None'
'2019-08-20 16:11:16.790000', 409', '404', 'None'
'2019-08-20 16:11:16.798000', 410', '405', 'None'
'2019-08-20 16:11:16.805000', 410', '406', 'None'
'2019-08-20 16:11:16.812000', 410', '407', 'None'
'2019-08-20 16:11:16.819000', 410', '408', 'None'
'2019-08-20 16:11:16.834000', 410', '409', 'None'
'2019-08-20 16:11:16.841000', 410', '410', 'None'
'2019-08-20 16:11:16.915000', 409', '410', 'None'
'2019-08-20 16:11:16.922000', 408', '410', 'None'
'2019-08-20 16:11:16.929000', 405', '410', 'None'
'2019-08-20 16:11:16.936000', 402', '408', 'None'
'2019-08-20 16:11:16.944000', 399', '406', 'None'
'2019-08-20 16:11:16.951000', 396', '403', 'None'
'2019-08-20 16:11:16.958000', 392', '401', 'None'
'2019-08-20 16:11:16.965000', 390', '399', 'None'
'2019-08-20 16:11:16.972000', 387', '397', 'None'
'2019-08-20 16:11:16.980000', 383', '394', 'None'
'2019-08-20 16:11:16.987000', 379', '393', 'None'
'2019-08-20 16:11:16.994000', 375', '392', 'None'
'2019-08-20 16:11:17.002000', 371', '391', 'None'
'2019-08-20 16:11:17.008000', 367', '390', 'None'
'2019-08-20 16:11:17.016000', 360', '389', 'None'
'2019-08-20 16:11:17.024000', 352', '388', 'None'
'2019-08-20 16:11:17.030000', 345', '387', 'None'
'2019-08-20 16:11:17.038000', 334', '386', 'None'
'2019-08-20 16:11:17.045000', 324', '383', 'None'
'2019-08-20 16:11:17.052000', 312', '382', 'None'
'2019-08-20 16:11:17.060000', 295', '380', 'None'
'2019-08-20 16:11:17.067000', 277', '379', 'None'
'2019-08-20 16:11:17.074000', 259', '377', 'None'
'2019-08-20 16:11:17.081000', 236', '376', 'None'
'2019-08-20 16:11:17.088000', 217', '373', 'None'
'2019-08-20 16:11:17.096000', 200', '369', 'None'
'2019-08-20 16:11:17.103000', 181', '364', 'None'
'2019-08-20 16:11:17.110000', 163', '358', 'None'
'2019-08-20 16:11:17.118000', 149', '351', 'None'
'2019-08-20 16:11:17.126000', 137', '345', 'None'
'2019-08-20 16:11:17.133000', 124', '335', 'None'
